Date,Year,Month,Month_Name,Quarter,Weekday,Week_Num
2012-01-07,2012,1,January,1,Saturday,1
2012-01-08,2012,1,January,1,Sunday,1
2012-01-09,2012,1,January,1,Monday,2
2012-01-10,2012,1,January,1,Tuesday,2
2012-01-11,2012,1,January,1,Wednesday,2
2012-01-12,2012,1,January,1,Thursday,2
2012-01-13,2012,1,January,1,Friday,2
2012-01-14,2012,1,January,1,Saturday,2
2012-01-15,2012,1,January,1,Sunday,2
2012-01-16,2012,1,January,1,Monday,3
2012-01-17,2012,1,January,1,Tuesday,3
2012-01-18,2012,1,January,1,Wednesday,3
2012-01-19,2012,1,January,1,Thursday,3
2012-01-20,2012,1,January,1,Friday,3
2012-01-21,2012,1,January,1,Saturday,3
2012-01-22,2012,1,January,1,Sunday,3
2012-01-23,2012,1,January,1,Monday,4
2012-01-24,2012,1,January,1,Tuesday,4
2012-01-25,2012,1,January,1,Wednesday,4
2012-01-26,2012,1,January,1,Thursday,4
2012-01-27,2012,1,January,1,Friday,4
2012-01-28,2012,1,January,1,Saturday,4
2012-01-29,2012,1,January,1,Sunday,4
2012-01-30,2012,1,January,1,Monday,5
2012-01-31,2012,1,January,1,Tuesday,5
2012-02-01,2012,2,February,1,Wednesday,5
2012-02-02,2012,2,February,1,Thursday,5
2012-02-03,2012,2,February,1,Friday,5
2012-02-04,2012,2,February,1,Saturday,5
2012-02-05,2012,2,February,1,Sunday,5
2012-02-06,2012,2,February,1,Monday,6
2012-02-07,2012,2,February,1,Tuesday,6
2012-02-08,2012,2,February,1,Wednesday,6
2012-02-09,2012,2,February,1,Thursday,6
2012-02-10,2012,2,February,1,Friday,6
2012-02-11,2012,2,February,1,Saturday,6
2012-02-12,2012,2,February,1,Sunday,6
2012-02-13,2012,2,February,1,Monday,7
2012-02-14,2012,2,February,1,Tuesday,7
2012-02-15,2012,2,February,1,Wednesday,7
2012-02-16,2012,2,February,1,Thursday,7
2012-02-17,2012,2,February,1,Friday,7
2012-02-18,2012,2,February,1,Saturday,7
2012-02-19,2012,2,February,1,Sunday,7
2012-02-20,2012,2,February,1,Monday,8
2012-02-21,2012,2,February,1,Tuesday,8
2012-02-22,2012,2,February,1,Wednesday,8
2012-02-23,2012,2,February,1,Thursday,8
2012-02-24,2012,2,February,1,Friday,8
2012-02-25,2012,2,February,1,Saturday,8
2012-02-26,2012,2,February,1,Sunday,8
2012-02-27,2012,2,February,1,Monday,9
2012-02-28,2012,2,February,1,Tuesday,9
2012-02-29,2012,2,February,1,Wednesday,9
2012-03-01,2012,3,March,1,Thursday,9
2012-03-02,2012,3,March,1,Friday,9
2012-03-03,2012,3,March,1,Saturday,9
2012-03-04,2012,3,March,1,Sunday,9
2012-03-05,2012,3,March,1,Monday,10
2012-03-06,2012,3,March,1,Tuesday,10
2012-03-07,2012,3,March,1,Wednesday,10
2012-03-08,2012,3,March,1,Thursday,10
2012-03-09,2012,3,March,1,Friday,10
2012-03-10,2012,3,March,1,Saturday,10
2012-03-11,2012,3,March,1,Sunday,10
2012-03-12,2012,3,March,1,Monday,11
2012-03-13,2012,3,March,1,Tuesday,11
2012-03-14,2012,3,March,1,Wednesday,11
2012-03-15,2012,3,March,1,Thursday,11
2012-03-16,2012,3,March,1,Friday,11
2012-03-17,2012,3,March,1,Saturday,11
2012-03-18,2012,3,March,1,Sunday,11
2012-03-19,2012,3,March,1,Monday,12
2012-03-20,2012,3,March,1,Tuesday,12
2012-03-21,2012,3,March,1,Wednesday,12
2012-03-22,2012,3,March,1,Thursday,12
2012-03-23,2012,3,March,1,Friday,12
2012-03-24,2012,3,March,1,Saturday,12
2012-03-25,2012,3,March,1,Sunday,12
2012-03-26,2012,3,March,1,Monday,13
2012-03-27,2012,3,March,1,Tuesday,13
2012-03-28,2012,3,March,1,Wednesday,13
2012-03-29,2012,3,March,1,Thursday,13
2012-03-30,2012,3,March,1,Friday,13
2012-03-31,2012,3,March,1,Saturday,13
2012-04-01,2012,4,April,2,Sunday,13
2012-04-02,2012,4,April,2,Monday,14
2012-04-03,2012,4,April,2,Tuesday,14
2012-04-04,2012,4,April,2,Wednesday,14
2012-04-05,2012,4,April,2,Thursday,14
2012-04-06,2012,4,April,2,Friday,14
2012-04-07,2012,4,April,2,Saturday,14
2012-04-08,2012,4,April,2,Sunday,14
2012-04-09,2012,4,April,2,Monday,15
2012-04-10,2012,4,April,2,Tuesday,15
2012-04-11,2012,4,April,2,Wednesday,15
2012-04-12,2012,4,April,2,Thursday,15
2012-04-13,2012,4,April,2,Friday,15
2012-04-14,2012,4,April,2,Saturday,15
2012-04-15,2012,4,April,2,Sunday,15
2012-04-16,2012,4,April,2,Monday,16
2012-04-17,2012,4,April,2,Tuesday,16
2012-04-18,2012,4,April,2,Wednesday,16
2012-04-19,2012,4,April,2,Thursday,16
2012-04-20,2012,4,April,2,Friday,16
2012-04-21,2012,4,April,2,Saturday,16
2012-04-22,2012,4,April,2,Sunday,16
2012-04-23,2012,4,April,2,Monday,17
2012-04-24,2012,4,April,2,Tuesday,17
2012-04-25,2012,4,April,2,Wednesday,17
2012-04-26,2012,4,April,2,Thursday,17
2012-04-27,2012,4,April,2,Friday,17
2012-04-28,2012,4,April,2,Saturday,17
2012-04-29,2012,4,April,2,Sunday,17
2012-04-30,2012,4,April,2,Monday,18
2012-05-01,2012,5,May,2,Tuesday,18
2012-05-02,2012,5,May,2,Wednesday,18
2012-05-03,2012,5,May,2,Thursday,18
2012-05-04,2012,5,May,2,Friday,18
2012-05-05,2012,5,May,2,Saturday,18
2012-05-06,2012,5,May,2,Sunday,18
2012-05-07,2012,5,May,2,Monday,19
2012-05-08,2012,5,May,2,Tuesday,19
2012-05-09,2012,5,May,2,Wednesday,19
2012-05-10,2012,5,May,2,Thursday,19
2012-05-11,2012,5,May,2,Friday,19
2012-05-12,2012,5,May,2,Saturday,19
2012-05-13,2012,5,May,2,Sunday,19
2012-05-14,2012,5,May,2,Monday,20
2012-05-15,2012,5,May,2,Tuesday,20
2012-05-16,2012,5,May,2,Wednesday,20
2012-05-17,2012,5,May,2,Thursday,20
2012-05-18,2012,5,May,2,Friday,20
2012-05-19,2012,5,May,2,Saturday,20
2012-05-20,2012,5,May,2,Sunday,20
2012-05-21,2012,5,May,2,Monday,21
2012-05-22,2012,5,May,2,Tuesday,21
2012-05-23,2012,5,May,2,Wednesday,21
2012-05-24,2012,5,May,2,Thursday,21
2012-05-25,2012,5,May,2,Friday,21
2012-05-26,2012,5,May,2,Saturday,21
2012-05-27,2012,5,May,2,Sunday,21
2012-05-28,2012,5,May,2,Monday,22
2012-05-29,2012,5,May,2,Tuesday,22
2012-05-30,2012,5,May,2,Wednesday,22
2012-05-31,2012,5,May,2,Thursday,22
2012-06-01,2012,6,June,2,Friday,22
2012-06-02,2012,6,June,2,Saturday,22
2012-06-03,2012,6,June,2,Sunday,22
2012-06-04,2012,6,June,2,Monday,23
2012-06-05,2012,6,June,2,Tuesday,23
2012-06-06,2012,6,June,2,Wednesday,23
2012-06-07,2012,6,June,2,Thursday,23
2012-06-08,2012,6,June,2,Friday,23
2012-06-09,2012,6,June,2,Saturday,23
2012-06-10,2012,6,June,2,Sunday,23
2012-06-11,2012,6,June,2,Monday,24
2012-06-12,2012,6,June,2,Tuesday,24
2012-06-13,2012,6,June,2,Wednesday,24
2012-06-14,2012,6,June,2,Thursday,24
2012-06-15,2012,6,June,2,Friday,24
2012-06-16,2012,6,June,2,Saturday,24
2012-06-17,2012,6,June,2,Sunday,24
2012-06-18,2012,6,June,2,Monday,25
2012-06-19,2012,6,June,2,Tuesday,25
2012-06-20,2012,6,June,2,Wednesday,25
2012-06-21,2012,6,June,2,Thursday,25
2012-06-22,2012,6,June,2,Friday,25
2012-06-23,2012,6,June,2,Saturday,25
2012-06-24,2012,6,June,2,Sunday,25
2012-06-25,2012,6,June,2,Monday,26
2012-06-26,2012,6,June,2,Tuesday,26
2012-06-27,2012,6,June,2,Wednesday,26
2012-06-28,2012,6,June,2,Thursday,26
2012-06-29,2012,6,June,2,Friday,26
2012-06-30,2012,6,June,2,Saturday,26
2012-07-01,2012,7,July,3,Sunday,26
2012-07-02,2012,7,July,3,Monday,27
2012-07-03,2012,7,July,3,Tuesday,27
2012-07-04,2012,7,July,3,Wednesday,27
2012-07-05,2012,7,July,3,Thursday,27
2012-07-06,2012,7,July,3,Friday,27
2012-07-07,2012,7,July,3,Saturday,27
2012-07-08,2012,7,July,3,Sunday,27
2012-07-09,2012,7,July,3,Monday,28
2012-07-10,2012,7,July,3,Tuesday,28
2012-07-11,2012,7,July,3,Wednesday,28
2012-07-12,2012,7,July,3,Thursday,28
2012-07-13,2012,7,July,3,Friday,28
2012-07-14,2012,7,July,3,Saturday,28
2012-07-15,2012,7,July,3,Sunday,28
2012-07-16,2012,7,July,3,Monday,29
2012-07-17,2012,7,July,3,Tuesday,29
2012-07-18,2012,7,July,3,Wednesday,29
2012-07-19,2012,7,July,3,Thursday,29
2012-07-20,2012,7,July,3,Friday,29
2012-07-21,2012,7,July,3,Saturday,29
2012-07-22,2012,7,July,3,Sunday,29
2012-07-23,2012,7,July,3,Monday,30
2012-07-24,2012,7,July,3,Tuesday,30
2012-07-25,2012,7,July,3,Wednesday,30
2012-07-26,2012,7,July,3,Thursday,30
2012-07-27,2012,7,July,3,Friday,30
2012-07-28,2012,7,July,3,Saturday,30
2012-07-29,2012,7,July,3,Sunday,30
2012-07-30,2012,7,July,3,Monday,31
2012-07-31,2012,7,July,3,Tuesday,31
2012-08-01,2012,8,August,3,Wednesday,31
2012-08-02,2012,8,August,3,Thursday,31
2012-08-03,2012,8,August,3,Friday,31
2012-08-04,2012,8,August,3,Saturday,31
2012-08-05,2012,8,August,3,Sunday,31
2012-08-06,2012,8,August,3,Monday,32
2012-08-07,2012,8,August,3,Tuesday,32
2012-08-08,2012,8,August,3,Wednesday,32
2012-08-09,2012,8,August,3,Thursday,32
2012-08-10,2012,8,August,3,Friday,32
2012-08-11,2012,8,August,3,Saturday,32
2012-08-12,2012,8,August,3,Sunday,32
2012-08-13,2012,8,August,3,Monday,33
2012-08-14,2012,8,August,3,Tuesday,33
2012-08-15,2012,8,August,3,Wednesday,33
2012-08-16,2012,8,August,3,Thursday,33
2012-08-17,2012,8,August,3,Friday,33
2012-08-18,2012,8,August,3,Saturday,33
2012-08-19,2012,8,August,3,Sunday,33
2012-08-20,2012,8,August,3,Monday,34
2012-08-21,2012,8,August,3,Tuesday,34
2012-08-22,2012,8,August,3,Wednesday,34
2012-08-23,2012,8,August,3,Thursday,34
2012-08-24,2012,8,August,3,Friday,34
2012-08-25,2012,8,August,3,Saturday,34
2012-08-26,2012,8,August,3,Sunday,34
2012-08-27,2012,8,August,3,Monday,35
2012-08-28,2012,8,August,3,Tuesday,35
